id,expected,language,prompt
reentry-current-truth,activate,en,"This repo has been idle for nine months. Reconstruct its current operational truth so I can decide where to resume work; keep it read-only."
migration-source-install,activate,en,"Before I move this machine, audit whether the repository source, packaged artifact, installed copy, and recovery instructions still agree."
archive-live-paths,activate,en,"Use the repository operational truth audit to decide whether this old private repo can be safely archived or still has reachable live paths."
handoff-false-green,activate,en,"I need to hand this evolved repo to another maintainer. Trace which entrypoints are live and what the green gates actually prove."
authority-reentry,activate,zh,"这个 repo 很久没碰了，先重建今天真正的 authority、entrypoints 和 artifacts，再决定从哪里继续。只读。"
consolidation-shadow-paths,activate,zh,"合并两个长期演化的工作路径前，检查它们是 intentional modes 还是仍会改写状态的 shadow paths。"
bounded-pr-review,do-not-activate,en,"Review this pull request for correctness and leave inline findings."
known-claim-check,do-not-activate,en,"Verify only whether the package.json version matches VERSION."
known-bug-fix,do-not-activate,en,"Fix the crash in parse_config and add a regression test."
license-choice,do-not-activate,en,"Audit this repository's licensing and recommend the right license."
security-scan,do-not-activate,en,"Run a security and dependency vulnerability audit."
generic-doc-cleanup,do-not-activate,en,"Clean up stale wording and broken links across the docs."
live-host-only,do-not-activate,en,"SSH to production and inspect the currently running service."
code-hygiene,do-not-activate,zh,"帮我列一份这个 repo 的通用 code hygiene checklist。"
intent-product-drift,activate,en,"This product has grown for years. Work out whether what it does now still matches what it was accepted to do, and where the biggest intent gaps are."
intent-vs-behavior,activate,en,"Reconstruct the intended product from our accepted spec and decisions, then tell me where current behavior has drifted or a core journey is missing."
intent-zh,activate,zh,"先根据已接受的产品规格和决策重建产品意图，再对比今天的行为，看看哪些核心旅程缺失或语义漂移了。只读。"
wishlist-no-intent,do-not-activate,en,"I want to add a bunch of nice-to-have features to this product; brainstorm what to build next."
single-intent-claim,do-not-activate,en,"Just confirm whether the README still says the product supports export."
